P        22784.
S        37.
Cl       -13810.330
Ar       -29730.762
K        -35413.924
Ca       -43138.396
Sc       -41760.499
Ti       -44126.996
V        -37074.602
Cr       -29473.531
Mn       -12957.
Fe       587.
