Ti       -5822.
V        -21993.
Cr       -35722.114
Mn       -46887.053
Fe       -55635.621
Co       -61850.999
Ni       -65512.321
Cu       -65579.298
Zn       -62213.111
Ga       -56547.092
Ge       -46921.216
As       -33627.
